rank,name,year_founded,company_age_2024,location,country,funding_raw,funding_musd,funding_series,search_growth_5yr_raw,search_growth_5yr_pct_numeric,growth_status,description,category,category_group,growth_norm,age_norm,funding_norm,status_norm,growth_potential_score
25,Spot AI,2018,6,"Los Altos, CA",CA,$62M,62.0,Series B,717%,717.0,Exploding,AI platform analyzing consumer behavior for personalized marketing recommendations.,Marketing Analytics,Sales/Marketing,0.619600566932994,0.6666666666666667,0.4439399615111755,1.0,65.3
26,Interactions,2013,11,"Franklin, MA",MA,$162.8M,162.8,Series Unknown,"6,900%",6900.0,Exploding,"Virtual assistant platform for enterprise customer experience, handling 2B+ annual conversations.",Conversational AI,Conversational AI/Chatbots,0.947668949196831,0.33333333333333337,0.5463237221518574,1.0,72.2
27,Fireflies.AI,2016,8,"San Francisco, California",California,$19M,19.0,Series A,"9,800%",9800.0,Exploding,"AI meeting assistant that records, transcribes, summarizes, and analyzes meetings.",Meeting Intelligence,Meeting Intelligence,0.9985283232190535,0.5333333333333333,0.3209949369369518,1.0,74.7
28,Otter AI,2016,8,"Mountain View, California",California,$63M,63.0,Series B,"3,233%",3233.0,Exploding,Speech-to-text transcription startup with automated meeting notes and action-item extraction.,Meeting Intelligence,Meeting Intelligence,0.8377866803734817,0.5333333333333333,0.4456274096508089,1.0,70.8
29,AssemblyAI,2017,7,"San Francisco, CA",CA,$158.1M,158.1,Series C,"8,100%",8100.0,Regular,AI speech-to-text and NLP platform for real-time transcription and analysis.,Voice/Speech,Voice/Audio,0.9709112937068832,0.6,0.5432042172947322,0.5,72.2
30,LogicMonitor,2008,16,"Santa Barbara, CA",CA,$142.9M,142.9,Private Equity,24%,24.0,Exploding,"SaaS IT monitoring platform with 2,000+ preconfigured integrations.",IT Ops/Monitoring,MLOps/Data Infra,0.13283799787420303,0.0,0.5324447482106325,1.0,31.0
31,Groq,2016,8,"Mountain View, California",California,$1B,1000.0,Series D,"2,125%",2125.0,Exploding,High-performance AI inference hardware company; builds the Language Processing Unit (LPU) chip.,AI Hardware,AI Hardware,0.7769735052291485,0.5333333333333333,0.7402782031881011,1.0,74.2
32,HighSpot,2012,12,"Seattle, WA",WA,$644.9M,644.9,Secondary Market,72%,72.0,Regular,AI-based sales enablement platform organizing content and coaching sales reps.,Sales Enablement,Sales/Marketing,0.28818936964930136,0.2666666666666667,0.6933343822207407,0.5,39.6
33,Grammarly,2009,15,"San Francisco, CA",CA,$400M,400.0,Private Equity,9%,9.0,Regular,AI-powered spelling/grammar editing software used by 30M+ people daily.,Writing Assistant,Productivity/Writing,0.0,0.06666666666666665,0.6422574164406943,0.5,22.0
34,AlphaSense,2011,13,"New York, NY",NY,$1.4B,1400.0,Series F,288%,288.0,Exploding,AI market intelligence research platform used by most of the S&P 500.,Market Intelligence,Research/Legal Tech,0.4876683427186108,0.19999999999999996,0.7763008648364238,1.0,55.0
35,YoDayo,2021,3,"New York, New York",New York,$2.4M,2.4,Seed,"8,400%",8400.0,Exploding,Generative AI platform for anime/VTuber fans offering art generation and chatbots.,Generative AI/Art,LLM/Generative AI,0.9761830041330399,0.8666666666666667,0.13112844594503856,1.0,78.3
36,Suno,2022,2,"Cambridge, Massachusetts",Massachusetts,$125M,125.0,Series B,"8,000%",8000.0,Regular,"AI music creation platform generating full songs (music, lyrics, vocals) from text prompts.",Audio/Music Generation,Voice/Audio,0.969110579527074,0.9333333333333333,0.518211196452977,0.5,80.0
37,CaseText,2013,11,"San Francisco, CA",CA,$64.3M,64.3,Series Unknown,"2,167%",2167.0,Exploding,AI legal research company helping law firms find cases and draft briefs faster.,Legal Tech,Research/Legal Tech,0.7798095959810132,0.33333333333333337,0.4477820988839815,1.0,63.5
38,Labelbox,2018,6,"San Francisco, CA",CA,$188.9M,188.9,Series D,214%,214.0,Exploding,Collaborative platform for annotating and labeling training data for ML models.,Data Labeling/MLOps,MLOps/Data Infra,0.44478678556709017,0.6666666666666667,0.5621661143882862,1.0,60.7
39,One AI,2021,3,"Tel Aviv, Israel",Israel,$8M,8.0,Seed,"1,025%",1025.0,Exploding,AI chatbot/virtual assistant platform for customer support automation.,Conversational AI,Conversational AI/Chatbots,0.6713494069796382,0.8666666666666667,0.2354342445300124,1.0,68.2
40,Abnormal Security,2018,6,"San Francisco, CA",CA,$284M,284.0,Series C,809%,809.0,Exploding,B2B email security company using behavioral AI to prevent account takeovers.,Cybersecurity,Cybersecurity,0.6370792666129947,0.6666666666666667,0.6056684116850661,1.0,69.3
41,Snipfeed,2018,6,"Los Angeles, CA",CA,$8.4M,8.4,Seed,"5,000%",5000.0,Regular,Link-in-bio monetization platform for creators with a GPT-powered AI Desk.,Creator Economy,Sales/Marketing,0.9009833163124974,0.6666666666666667,0.24009370655471232,0.5,65.0
42,Deepnote,2018,6,"San Francisco, CA",CA,$23.8M,23.8,Series A,"5,600%",5600.0,Regular,Cloud-based collaborative data-science notebook platform with generative AI assistant.,Data Science Tools,Data/ML Platform,0.9174098817512758,0.6666666666666667,0.34404428094680384,0.5,67.7
43,Luxonis,2019,5,"Littleton, CO",CO,$4.8M,4.8,Seed,"8,800%",8800.0,Regular,"Spatial AI and computer vision hardware company (OAK cameras, RobotHub).",Computer Vision,Computer Vision,0.9829263954894735,0.7333333333333334,0.18835578077857767,0.5,68.9
44,Tabnine,2013,11,"Tel Aviv, Israel",Israel,$57.1M,57.1,Series B,413%,413.0,Exploding,Generative AI code-completion and developer assistant tool.,Dev Tools,Dev Tools,0.5397775624351216,0.33333333333333337,0.43526406635482884,1.0,53.6
45,FeedHive,2021,3,"Zurich, Switzerland",Switzerland,Bootstrapped,0.0,Bootstrapped,"3,900%",3900.0,Peaked,AI-powered social media marketing and content-management startup.,Social Media Marketing,Sales/Marketing,0.8649711460977574,0.8666666666666667,0.0,0.0,56.3
46,Roboflow,2018,6,"Des Moines, IA",IA,$22.2M,22.2,Series A,"8,400%",8400.0,Regular,"Computer vision platform simplifying dataset annotation, training, and deployment.",Computer Vision,Computer Vision,0.9761830041330399,0.6666666666666667,0.33689825066218065,0.5,70.0
47,PhotoPrism,2022,2,"Berlin, Germany",Germany,Bootstrapped,0.0,Bootstrapped,"7,000%",7000.0,Regular,Privacy-friendly AI photo management app with facial recognition and object detection.,Image Editing,Image/Video Editing,0.9497546366552464,0.9333333333333333,0.0,0.5,68.8
48,Edge Impulse,2019,5,"San Jose, CA",CA,$54.4M,54.4,Series B,829%,829.0,Exploding,Development platform for machine learning on edge devices with low-code tools.,Edge ML/IoT,Edge ML/IoT,0.6406153842288835,0.7333333333333334,0.4301651836184917,1.0,67.6
49,Docsumo,2018,6,Singapore,Singapore,$3.5M,3.5,Seed Round,"7,400%",7400.0,Regular,AI document processing platform automating data extraction from invoices and contracts.,Document Processing,Research/Legal Tech,0.9578096806269232,0.6666666666666667,0.16116300958821092,0.5,65.7
50,Perplexity AI,2022,2,"San Francisco, CA",CA,$165M,165.0,Series Unknown,"7,800%",7800.0,Regular,AI-based search engine/chatbot generating answers via NLP and machine learning.,LLM/Generative AI,LLM/Generative AI,0.9654406294803232,0.9333333333333333,0.5477532863106175,0.5,80.4
51,HitPaw,2019,5,Hong Kong,Hong Kong,Bootstrapped,0.0,Bootstrapped,99x+,9900.0,Exploding,"3-in-1 AI editing software suite for video, photo, and audio editing.",Image Editing,Image/Video Editing,1.0,0.7333333333333334,0.0,1.0,73.3
52,Briefly AI,2022,2,"Larkspur, CA",CA,Bootstrapped,0.0,Bootstrapped,"7,400%",7400.0,Regular,AI writing assistant transcribing meetings and generating summaries via Chrome extension.,Meeting Intelligence,Meeting Intelligence,0.9578096806269232,0.9333333333333333,0.0,0.5,69.1
53,Elicit AI,2023,1,"Oakland, CA",CA,$9M,9.0,Seed Round,"7,500%",7500.0,Regular,"AI research assistant that finds, summarizes, and extracts info from academic papers.",Research Assistant,Research/Legal Tech,0.9597554034949045,1.0,0.24672370199515034,0.5,75.8
54,AMP,2014,10,"Louisville, Colorado",Colorado,$175.1M,175.1,Series C,429%,429.0,Exploding,Robotics/AI company sorting recyclables from waste streams via computer vision.,Defense/Robotics,Defense/Robotics,0.5452748517394956,0.4,0.5540820620944911,1.0,57.9
55,Mem AI,2021,3,"San Francisco, CA",CA,$29.1M,29.1,Series A,222%,222.0,Exploding,AI note-taking app with GPT-4-powered conversational 'Mem Chat' feature.,Productivity/Note-taking,Productivity/Writing,0.4500832151284884,0.8666666666666667,0.3647973994389091,1.0,62.0
56,Observe AI,2017,7,"San Francisco, CA",CA,$222M,222.0,Series C,"6,300%",6300.0,Regular,AI contact-center conversational intelligence platform for call analysis and coaching.,Customer Intelligence,Customer Intelligence,0.9344824405645858,0.6,0.5793824692244567,0.5,71.5
57,Copyleaks,2014,10,"Stamford, CT",CT,$7.3M,7.3,Series A,"2,033%",2033.0,Exploding,Digital plagiarism and AI-content detection tool using NLP.,Content Detection,Research/Legal Tech,0.7705601641427137,0.4,0.2267583493736657,1.0,60.4
58,Anthropic,2021,3,"San Francisco, CA",CA,$9.7B,9700.0,Secondary Market,"2,433%",2433.0,Exploding,AI safety and research company building large language models; creator of Claude.,LLM/Generative AI,LLM/Generative AI,0.7965875267981791,0.8666666666666667,0.9836421271867086,1.0,88.2
59,Peak AI,2014,10,"Manchester, United Kingdom",United Kingdom,$117.7M,117.7,Series C,786%,786.0,Exploding,"AI decision-intelligence platform for customer, inventory, and pricing applications.",Decision Intelligence,,0.6329031561996689,0.4,0.5118161609869779,1.0,60.6
60,Scale AI,2016,8,"San Francisco, CA",CA,$1.6B,1600.0,Series F,700%,700.0,Exploding,"Provides training data and generative AI platform for AI model development (self-driving, LLMs, robotics).",Data Labeling/MLOps,MLOps/Data Infra,0.6161267547971024,0.5333333333333333,0.7905992920523001,1.0,68.8
