rank,name,year_founded,company_age_2024,location,country,funding_raw,funding_musd,funding_series,search_growth_5yr_raw,search_growth_5yr_pct_numeric,growth_status,description,category,category_group
14,Shield AI,2015,9,"San Diego, CA",CA,$1.1B,1100.0,Debt Financing,525%,525.0,Exploding,Defense tech company building autonomous drones and AI command/control software for military use.,Defense/Robotics,Defense/Robotics
15,Eightfold,2016,8,"Santa Clara, California",California,$396.8M,396.8,Series E,567%,567.0,Exploding,"AI-powered HR platform for talent acquisition, retention, and training.",HR Tech,HR Tech
16,Netra,2013,11,"Boston, MA",MA,$3.9M,3.9,Seed,57%,57.0,Regular,"AI video analysis platform for safety analysis, metadata analysis, and object detection.",Computer Vision,Computer Vision
17,Deepgram,2015,9,"San Francisco, CA",CA,$85.9M,85.9,Series B,"4,900%",4900.0,Exploding,AI speech recognition platform transcribing and analyzing audio/video with high accuracy.,Voice/Speech,Voice/Audio
18,Arthur AI,2017,7,"New York, New York",New York,$60.3M,60.3,Series B,650%,650.0,Exploding,AI/ML model monitoring and bias detection platform; also builds LLM firewall Arthur Shield.,MLOps/Monitoring,MLOps/Data Infra
19,OpenAI,2015,9,"San Francisco, CA",CA,$11.3B,11300.0,Secondary Market,"3,800%",3800.0,Regular,AI research company aiming for AGI; best known for ChatGPT.,LLM/Generative AI,LLM/Generative AI
20,Capacity,2017,7,"St. Louis, Missouri",Missouri,$61.5M,61.5,Series C,"1,183%",1183.0,Exploding,Fully AI-powered helpdesk that learns from employee-customer interactions.,Conversational AI,Conversational AI/Chatbots
21,Read AI,2020,4,"Seattle, Washington",Washington,$31M,31.0,Series A,"1,567%",1567.0,Exploding,"AI meeting-engagement tool measuring attendee engagement, talk-time, and sentiment in real time.",Meeting Intelligence,Meeting Intelligence
22,Dataiku,2013,11,"Paris, France",France,$846.8M,846.8,Series F,102%,102.0,Regular,Enterprise AI platform/workbench for building customized AI and ML solutions.,Data/ML Platform,Data/ML Platform
23,PhotoRoom,2019,5,"Paris, France",France,$62.1M,62.1,Series B,99x+,9900.0,Exploding,"AI photo editing app/API automating background removal, resizing, and blurring.",Image Editing,Image/Video Editing
24,DNSFilter,2015,9,"Washington, DC",DC,$62.1M,62.1,Series Unknown,150%,150.0,Exploding,"AI-powered cybersecurity platform protecting against phishing, ransomware, and malware.",Cybersecurity,Cybersecurity
25,Spot AI,2018,6,"Los Altos, CA",CA,$62M,62.0,Series B,717%,717.0,Exploding,AI platform analyzing consumer behavior for personalized marketing recommendations.,Marketing Analytics,Sales/Marketing
26,Interactions,2013,11,"Franklin, MA",MA,$162.8M,162.8,Series Unknown,"6,900%",6900.0,Exploding,"Virtual assistant platform for enterprise customer experience, handling 2B+ annual conversations.",Conversational AI,Conversational AI/Chatbots
27,Fireflies.AI,2016,8,"San Francisco, California",California,$19M,19.0,Series A,"9,800%",9800.0,Exploding,"AI meeting assistant that records, transcribes, summarizes, and analyzes meetings.",Meeting Intelligence,Meeting Intelligence
28,Otter AI,2016,8,"Mountain View, California",California,$63M,63.0,Series B,"3,233%",3233.0,Exploding,Speech-to-text transcription startup with automated meeting notes and action-item extraction.,Meeting Intelligence,Meeting Intelligence
29,AssemblyAI,2017,7,"San Francisco, CA",CA,$158.1M,158.1,Series C,"8,100%",8100.0,Regular,AI speech-to-text and NLP platform for real-time transcription and analysis.,Voice/Speech,Voice/Audio
30,LogicMonitor,2008,16,"Santa Barbara, CA",CA,$142.9M,142.9,Private Equity,24%,24.0,Exploding,"SaaS IT monitoring platform with 2,000+ preconfigured integrations.",IT Ops/Monitoring,MLOps/Data Infra
31,Groq,2016,8,"Mountain View, California",California,$1B,1000.0,Series D,"2,125%",2125.0,Exploding,High-performance AI inference hardware company; builds the Language Processing Unit (LPU) chip.,AI Hardware,AI Hardware
32,HighSpot,2012,12,"Seattle, WA",WA,$644.9M,644.9,Secondary Market,72%,72.0,Regular,AI-based sales enablement platform organizing content and coaching sales reps.,Sales Enablement,Sales/Marketing
33,Grammarly,2009,15,"San Francisco, CA",CA,$400M,400.0,Private Equity,9%,9.0,Regular,AI-powered spelling/grammar editing software used by 30M+ people daily.,Writing Assistant,Productivity/Writing
34,AlphaSense,2011,13,"New York, NY",NY,$1.4B,1400.0,Series F,288%,288.0,Exploding,AI market intelligence research platform used by most of the S&P 500.,Market Intelligence,Research/Legal Tech
35,YoDayo,2021,3,"New York, New York",New York,$2.4M,2.4,Seed,"8,400%",8400.0,Exploding,Generative AI platform for anime/VTuber fans offering art generation and chatbots.,Generative AI/Art,LLM/Generative AI
36,Suno,2022,2,"Cambridge, Massachusetts",Massachusetts,$125M,125.0,Series B,"8,000%",8000.0,Regular,"AI music creation platform generating full songs (music, lyrics, vocals) from text prompts.",Audio/Music Generation,Voice/Audio
37,CaseText,2013,11,"San Francisco, CA",CA,$64.3M,64.3,Series Unknown,"2,167%",2167.0,Exploding,AI legal research company helping law firms find cases and draft briefs faster.,Legal Tech,Research/Legal Tech
38,Labelbox,2018,6,"San Francisco, CA",CA,$188.9M,188.9,Series D,214%,214.0,Exploding,Collaborative platform for annotating and labeling training data for ML models.,Data Labeling/MLOps,MLOps/Data Infra
39,One AI,2021,3,"Tel Aviv, Israel",Israel,$8M,8.0,Seed,"1,025%",1025.0,Exploding,AI chatbot/virtual assistant platform for customer support automation.,Conversational AI,Conversational AI/Chatbots
40,Abnormal Security,2018,6,"San Francisco, CA",CA,$284M,284.0,Series C,809%,809.0,Exploding,B2B email security company using behavioral AI to prevent account takeovers.,Cybersecurity,Cybersecurity
41,Snipfeed,2018,6,"Los Angeles, CA",CA,$8.4M,8.4,Seed,"5,000%",5000.0,Regular,Link-in-bio monetization platform for creators with a GPT-powered AI Desk.,Creator Economy,Sales/Marketing
42,Deepnote,2018,6,"San Francisco, CA",CA,$23.8M,23.8,Series A,"5,600%",5600.0,Regular,Cloud-based collaborative data-science notebook platform with generative AI assistant.,Data Science Tools,Data/ML Platform
43,Luxonis,2019,5,"Littleton, CO",CO,$4.8M,4.8,Seed,"8,800%",8800.0,Regular,"Spatial AI and computer vision hardware company (OAK cameras, RobotHub).",Computer Vision,Computer Vision
44,Tabnine,2013,11,"Tel Aviv, Israel",Israel,$57.1M,57.1,Series B,413%,413.0,Exploding,Generative AI code-completion and developer assistant tool.,Dev Tools,Dev Tools
45,FeedHive,2021,3,"Zurich, Switzerland",Switzerland,Bootstrapped,0.0,Bootstrapped,"3,900%",3900.0,Peaked,AI-powered social media marketing and content-management startup.,Social Media Marketing,Sales/Marketing
46,Roboflow,2018,6,"Des Moines, IA",IA,$22.2M,22.2,Series A,"8,400%",8400.0,Regular,"Computer vision platform simplifying dataset annotation, training, and deployment.",Computer Vision,Computer Vision
47,PhotoPrism,2022,2,"Berlin, Germany",Germany,Bootstrapped,0.0,Bootstrapped,"7,000%",7000.0,Regular,Privacy-friendly AI photo management app with facial recognition and object detection.,Image Editing,Image/Video Editing
48,Edge Impulse,2019,5,"San Jose, CA",CA,$54.4M,54.4,Series B,829%,829.0,Exploding,Development platform for machine learning on edge devices with low-code tools.,Edge ML/IoT,Edge ML/IoT
49,Docsumo,2018,6,Singapore,Singapore,$3.5M,3.5,Seed Round,"7,400%",7400.0,Regular,AI document processing platform automating data extraction from invoices and contracts.,Document Processing,Research/Legal Tech
50,Perplexity AI,2022,2,"San Francisco, CA",CA,$165M,165.0,Series Unknown,"7,800%",7800.0,Regular,AI-based search engine/chatbot generating answers via NLP and machine learning.,LLM/Generative AI,LLM/Generative AI
51,HitPaw,2019,5,Hong Kong,Hong Kong,Bootstrapped,0.0,Bootstrapped,99x+,9900.0,Exploding,"3-in-1 AI editing software suite for video, photo, and audio editing.",Image Editing,Image/Video Editing
52,Briefly AI,2022,2,"Larkspur, CA",CA,Bootstrapped,0.0,Bootstrapped,"7,400%",7400.0,Regular,AI writing assistant transcribing meetings and generating summaries via Chrome extension.,Meeting Intelligence,Meeting Intelligence
53,Elicit AI,2023,1,"Oakland, CA",CA,$9M,9.0,Seed Round,"7,500%",7500.0,Regular,"AI research assistant that finds, summarizes, and extracts info from academic papers.",Research Assistant,Research/Legal Tech
54,AMP,2014,10,"Louisville, Colorado",Colorado,$175.1M,175.1,Series C,429%,429.0,Exploding,Robotics/AI company sorting recyclables from waste streams via computer vision.,Defense/Robotics,Defense/Robotics
55,Mem AI,2021,3,"San Francisco, CA",CA,$29.1M,29.1,Series A,222%,222.0,Exploding,AI note-taking app with GPT-4-powered conversational 'Mem Chat' feature.,Productivity/Note-taking,Productivity/Writing
56,Observe AI,2017,7,"San Francisco, CA",CA,$222M,222.0,Series C,"6,300%",6300.0,Regular,AI contact-center conversational intelligence platform for call analysis and coaching.,Customer Intelligence,Customer Intelligence
57,Copyleaks,2014,10,"Stamford, CT",CT,$7.3M,7.3,Series A,"2,033%",2033.0,Exploding,Digital plagiarism and AI-content detection tool using NLP.,Content Detection,Research/Legal Tech
58,Anthropic,2021,3,"San Francisco, CA",CA,$9.7B,9700.0,Secondary Market,"2,433%",2433.0,Exploding,AI safety and research company building large language models; creator of Claude.,LLM/Generative AI,LLM/Generative AI
59,Peak AI,2014,10,"Manchester, United Kingdom",United Kingdom,$117.7M,117.7,Series C,786%,786.0,Exploding,"AI decision-intelligence platform for customer, inventory, and pricing applications.",Decision Intelligence,
60,Scale AI,2016,8,"San Francisco, CA",CA,$1.6B,1600.0,Series F,700%,700.0,Exploding,"Provides training data and generative AI platform for AI model development (self-driving, LLMs, robotics).",Data Labeling/MLOps,MLOps/Data Infra
